id,name,slug,value,product_id
216,video-resolution,video-resolution,5K(5120×2880)30FPS; 4K(3840×2160)30FPS; 2.7K(2688×1512)30FPS; 1080P(1920×1080)120FPS; 1080P(1920×1080)60FPS; 1080P(1920×1080)30FPS; 720P(1280×720)120FPS; 720P(1280×720)60FPS; 720P(1280×720)30FPS,23
217,front-image-sensor,front-image-sensor,16 megapixel CMOS sensor IMX206,23
218,rear-selfie-image-sensor,rear-selfie-image-sensor,12M image sensor IMX386,23
219,display-screen,display-screen,3.2 inch 1024*768 IPS HD touch screen display,23
220,usb,usb,Type-C USB,23
221,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),23
222,battery-capacity,battery-capacity,1220mAh 3.7V Rechargeable lithium battery,23
223,zoom,zoom,Maximum 10x zoom,23
224,language,language,"English,Simplified Chinese,Traditional Chinese,Japanese,Korean,French,German,Italian,Spanish,Portuguese,Russian,Polish ,Vietnamese",23
225,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1, USB-TYPE C cable*1, HDMI cable*1, NP-80 Lithium battery*1, Charger *1, Lens Cap*1, Lanyard*1,Glasses Cloth*1, Camera Bag*1",23
226,image-resolution,image-resolution,"""64M(9248×6936); 56M(8640×6480); 48M(8000×6000); 36M(6880×5160); 24M(5600×4200); 20M(5120×3840); 16M(4640×3480); 12M(4032×3024); 8M(3264×2448); 5M(2592×1944)""",24
227,video-resolution,video-resolution,"""5K(5120×2880) 30FPS; 4K(3840×2160) 30FPS; 2.7K(2688×1512) 30FPS; 1080P(1920×1080) 60FPS; 1080P(1920×1080) 30FPS; 720P(1280×720) 60FPS; 720P(1280×720) 30FPS""",24
228,front-image-sensor,front-image-sensor,8 megapixel CMOS sensor IMX415,24
229,rear-selfie-image-sensor,rear-selfie-image-sensor,12M image sensor IMX386,24
230,display-screen,display-screen,2.8 inch 640×480 IPS HD screen display,24
231,usb,usb,Type-C USB,24
232,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),24
233,battery-capacity,battery-capacity,"1050mAh, 3.7V, Rechargeable Lithium Battery",24
234,zoom,zoom,6X Optical Zoom,24
235,language,language,"""English,Simplified Chinese,Traditional Chinese,Japanese,Korean,French,German,Italian,Spanish,Portuguese,Russian,Polish ,Vietnamese""",24
236,accessories-for-camcorder,accessories-for-camcorder,"User's manual*1, USB-TYPE C cable*1, HDMI cable*1, NP-60 Lithium battery*1, Charger *1, Lens Cap*1, Lanyard*1,Glasses Cloth*1, Camera Bag*1",24
237,image-resolution,image-resolution,"2M:1920×1080 HD 3M:2048×1536 5M: 2592×1944 7M: 3648×2048 HD
10M:3648×2736 12M:4000×3000 16M:4608×3456 20M:5200×3900
24M:5600×4200 36M:7936×4480 HD 44M:7600×5800 48M:8000×6000
64M(9200×6900)",25
238,video-resolution,video-resolution,"VGA(640×480)30FPS/ HD(1280×720)30FPS / FHD(1920×1080)30FPS/
2.7K(2688×1520)30FPS/ 4K(3840×2160)10FPS",25
239,zoom,zoom,16x Digital Zoom,25
240,image-sensor,image-sensor,13 megapixel CMOS sensor (up to 64MP interpolation),25
241,display-screen,display-screen,2.8-inch 640*480 IPS,25
242,usb,usb,Type-C USB,25
243,expanded-memory-card,expanded-memory-card,TF Card slot (up to 256GB ),25
244,battery-capacity,battery-capacity,1050mA/h Rechargeable Lithium Battery,25
245,language,language,"English/Simplified Chinese/TraditionalChinese/Japanese/Korean/Russian/French/
German/Czech/Portuguese/Polish/Dutch/Turkish/Thai
(English/Simplified Chinese/Traditional Chinese/Japanese/русский/français/Deutsch/čeština/português/Polski/Nederlan ds/Türkiye/Thai)",25
246,accessories-for-camcorder,accessories-for-camcorder,"Type-c Cable * 1, HDMI Cable * 1, NP-60 Lithium Battery * 1, Charger * 1,
Glasses Cloth * 1, Camera Bag * 1, Lanyard * 1, User's Manual * 1, Lens cap *1",25
247,image-resolution,image-resolution,48M(8000×6000); 36M(6880×5160) 24M(5600×4200); 20M(5120×3840) 16M(4640×3480); 12M(4032×3024)8M(3264×2448); 5M(2592×1944),26
